year,team,position,avg_age_p_pos,avg_age
1974,Sweden,Forward,25.0,27.954545454545453
1974,Sweden,Goalkeeper,28.666666666666668,27.954545454545453
1974,Sweden,Midfielder,28.0,27.954545454545453
1974,Uruguay,Defender,28.625,26.818181818181817
1974,Uruguay,Forward,23.4,26.818181818181817
1974,Uruguay,Goalkeeper,27.0,26.818181818181817
1974,Uruguay,Midfielder,27.166666666666668,26.818181818181817
1974,West Germany,Defender,26.714285714285715,27.318181818181817
1974,West Germany,Forward,27.6,27.318181818181817
1974,West Germany,Goalkeeper,28.0,27.318181818181817
1974,West Germany,Midfielder,27.428571428571427,27.318181818181817
1974,Yugoslavia,Defender,26.6,25.772727272727273
1974,Yugoslavia,Forward,27.6,25.772727272727273
1974,Yugoslavia,Goalkeeper,26.333333333333332,25.772727272727273
1974,Yugoslavia,Midfielder,24.11111111111111,25.772727272727273
1974,Zaire,Defender,25.0,26.045454545454547
1974,Zaire,Forward,25.2,26.045454545454547
1974,Zaire,Goalkeeper,26.333333333333332,26.045454545454547
1974,Zaire,Midfielder,27.25,26.045454545454547
1978,Argentina,Defender,27.0,26.272727272727273
1978,Argentina,Forward,25.25,26.272727272727273
1978,Argentina,Goalkeeper,27.333333333333332,26.272727272727273
1978,Argentina,Midfielder,25.88888888888889,26.272727272727273
