year,team,opponent_team,result,team_conf,opponent_conf
2010,Argentina,Greece,Win,CONMEBOL,UEFA
1950,Paraguay,Italy,Loss,CONMEBOL,UEFA
1986,Spain,Denmark,Win,UEFA,UEFA
2002,United States,Poland,Loss,CONCACAF,UEFA
1994,Republic of Ireland,Mexico,Loss,UEFA,CONCACAF
1958,Argentina,Czechoslovakia,Loss,CONMEBOL,UEFA
2010,France,Uruguay,Draw,UEFA,CONMEBOL
2018,Mexico,Brazil,Loss,CONCACAF,CONMEBOL
1934,Switzerland,Czechoslovakia,Loss,UEFA,UEFA
1982,Northern Ireland,Yugoslavia,Draw,UEFA,UEFA
2018,Belgium,France,Loss,UEFA,UEFA
1962,Colombia,Soviet Union,Draw,CONMEBOL,UEFA
1954,Turkey,West Germany,Loss,UEFA,UEFA
1998,France,Brazil,Win,UEFA,CONMEBOL
1966,Mexico,France,Draw,CONCACAF,UEFA
1990,Argentina,Brazil,Win,CONMEBOL,CONMEBOL
2010,Portugal,Ivory Coast,Draw,UEFA,CAF
2014,Costa Rica,Netherlands,Loss,CONCACAF,UEFA
1982,Belgium,Poland,Loss,UEFA,UEFA
2018,Germany,South Korea,Loss,UEFA,AFC
1966,Hungary,Portugal,Loss,UEFA,UEFA
2022,Switzerland,Brazil,Loss,UEFA,CONMEBOL
2006,Japan,Australia,Loss,AFC,AFC
1938,Brazil,Italy,Loss,CONMEBOL,UEFA
1954,South Korea,Hungary,Loss,AFC,UEFA
1966,Uruguay,Mexico,Draw,CONMEBOL,CONCACAF
2002,England,Denmark,Win,UEFA,UEFA
1990,Uruguay,South Korea,Win,CONMEBOL,AFC
1998,Norway,Brazil,Win,UEFA,CONMEBOL
2010,Slovenia,Algeria,Win,UEFA,CAF
1966,Spain,West Germany,Loss,UEFA,UEFA
2006,Australia,Croatia,Draw,AFC,UEFA
1930,Mexico,France,Loss,CONCACAF,UEFA
2010,Chile,Brazil,Loss,CONMEBOL,CONMEBOL
1962,Czechoslovakia,Brazil,Draw,UEFA,CONMEBOL
1998,Croatia,Netherlands,Win,UEFA,UEFA
1986,Algeria,Brazil,Loss,CAF,CONMEBOL
1966,Bulgaria,Portugal,Loss,UEFA,UEFA
1978,Brazil,Argentina,Draw,CONMEBOL,CONMEBOL
2022,Uruguay,Portugal,Loss,CONMEBOL,UEFA
1994,Bolivia,South Korea,Draw,CONMEBOL,AFC
1950,Bolivia,Uruguay,Loss,CONMEBOL,CONMEBOL
2018,Switzerland,Sweden,Loss,UEFA,UEFA
2002,South Korea,Spain,Win,AFC,UEFA
1930,Peru,Uruguay,Loss,CONMEBOL,CONMEBOL
2010,Australia,Ghana,Draw,AFC,CAF
1966,Italy,North Korea,Loss,UEFA,AFC
1994,Bulgaria,Mexico,Win,UEFA,CONCACAF
2014,Mexico,Croatia,Win,CONCACAF,UEFA
1994,Brazil,Netherlands,Win,CONMEBOL,UEFA
2014,Algeria,Germany,Loss,CAF,UEFA
1938,Dutch East Indies,Hungary,Loss,AFC,UEFA
1974,Yugoslavia,Brazil,Draw,UEFA,CONMEBOL
1954,Italy,Switzerland,Loss,UEFA,UEFA
1958,Paraguay,France,Loss,CONMEBOL,UEFA
1990,Costa Rica,Czechoslovakia,Loss,CONCACAF,UEFA
2014,Greece,Colombia,Loss,UEFA,CONMEBOL
1986,Argentina,Italy,Draw,CONMEBOL,UEFA
2022,Portugal,South Korea,Loss,UEFA,AFC
1994,Mexico,Italy,Draw,CONCACAF,UEFA
1962,Switzerland,Chile,Loss,UEFA,CONMEBOL
2018,Egypt,Russia,Loss,CAF,UEFA
1966,France,Uruguay,Loss,UEFA,CONMEBOL
1962,Switzerland,West Germany,Loss,UEFA,UEFA
1974,Brazil,Netherlands,Loss,CONMEBOL,UEFA
1998,Iran,Germany,Loss,AFC,UEFA
2002,Croatia,Ecuador,Loss,UEFA,CONMEBOL
1970,Uruguay,West Germany,Loss,CONMEBOL,UEFA
1986,Belgium,Spain,Win,UEFA,UEFA
2014,Iran,Bosnia and Herzegovina,Loss,AFC,UEFA
1998,Netherlands,Brazil,Loss,UEFA,CONMEBOL
1974,Netherlands,Bulgaria,Win,UEFA,UEFA
2018,South Korea,Sweden,Loss,AFC,UEFA
2022,Mexico,Saudi Arabia,Win,CONCACAF,AFC
2022,France,Tunisia,Loss,UEFA,CAF
1934,Austria,Italy,Loss,UEFA,UEFA
2018,Colombia,Poland,Win,CONMEBOL,UEFA
1994,Bulgaria,Argentina,Win,UEFA,CONMEBOL
1970,Mexico,Italy,Loss,CONCACAF,UEFA
1978,Netherlands,Austria,Win,UEFA,UEFA
2010,North Korea,Brazil,Loss,AFC,CONMEBOL
1934,Czechoslovakia,Italy,Loss,UEFA,UEFA
2006,Ukraine,Switzerland,Win,UEFA,UEFA
1938,Sweden,Hungary,Loss,UEFA,UEFA
1998,Denmark,Brazil,Loss,UEFA,CONMEBOL
1966,Portugal,England,Loss,UEFA,UEFA
1990,Yugoslavia,Argentina,Loss,UEFA,CONMEBOL
2006,Sweden,Trinidad and Tobago,Draw,UEFA,CONCACAF
2018,Tunisia,Belgium,Loss,CAF,UEFA
1966,West Germany,England,Loss,UEFA,UEFA
1990,Spain,Belgium,Win,UEFA,UEFA
1974,West Germany,Netherlands,Win,UEFA,UEFA
1998,Cameroon,Chile,Draw,CAF,CONMEBOL
2002,Nigeria,Argentina,Loss,CAF,CONMEBOL
2002,Saudi Arabia,Cameroon,Loss,AFC,CAF
2014,Brazil,Cameroon,Win,CONMEBOL,CAF
1966,France,England,Loss,UEFA,UEFA
1994,Colombia,United States,Loss,CONMEBOL,CONCACAF
2006,Ivory Coast,Netherlands,Loss,CAF,UEFA
1954,West Germany,Hungary,Loss,UEFA,UEFA
1938,Hungary,Italy,Loss,UEFA,UEFA
1974,West Germany,Australia,Win,UEFA,AFC
2006,Ghana,Italy,Loss,CAF,UEFA
1966,Spain,Argentina,Loss,UEFA,CONMEBOL
1950,Switzerland,Brazil,Draw,UEFA,CONMEBOL
2018,Japan,Colombia,Win,AFC,CONMEBOL
